Genes	avg_logFC	pct.TM	pct.PB	pct.Difference	p_val	p_val_adj	
TMED1	0.890073781	0.051	0.025	0.026	0.15964024	1	
AC017002.2	0.889873898	0.049	0.031	0.018	0.319038903	1	
GFOD1	0.888982917	0.023	0.012	0.011	0.412351397	1	
PSMB5	0.888730991	0.181	0.075	0.106	0.00107236	1	
KCNQ3	0.888449529	0.009	0	0.009	0.237083309	1	
PRR5L	0.888405453	0.024	0.006	0.018	0.153067925	1	
CD79B	0.888017621	0.315	0.175	0.14	1.00E-04	1	
SLC7A7	0.887802379	0.014	0	0.014	0.133799231	1	
COQ3	0.887492626	0.028	0.012	0.016	0.262169143	1	
CBWD5	0.887046333	0.178	0.081	0.097	0.00282577	1	
TRAF2	0.886920839	0.073	0.031	0.042	0.05635829	1	
SPAG8	0.886912582	0.007	0	0.007	0.290768773	1	
POP1	0.886752996	0.01	0	0.01	0.194868982	1	
PPP5D1	0.886572305	0.007	0	0.007	0.290768773	1	
CAMSAP1	0.886534959	0.024	0.012	0.012	0.355333013	1	
SLC3A1	0.886173527	0.005	0	0.005	0.36082193	1	
CDCA5	0.886118993	0.007	0	0.007	0.290768773	1	
KLK1	0.885977695	0.012	0.006	0.006	0.517584711	1	
C4orf33	0.885671662	0.078	0.038	0.04	0.065227081	1	
RETN	0.885567166	0.003	0	0.003	0.456375917	1	
FAM179A	0.885304102	0.007	0	0.007	0.290768773	1	
FPR3	0.883986092	0.01	0	0.01	0.194868982	1	
SPAG16	0.883954113	0.078	0.038	0.04	0.066634203	1	
USP40	0.883125124	0.019	0.006	0.013	0.254210969	1	
IL4R	0.882981615	0.232	0.1	0.132	0.000200659	1	
CTIF	0.882470362	0.007	0	0.007	0.290768773	1	
LZTR1	0.882338819	0.04	0.019	0.021	0.191514474	1	
C7orf61	0.882095295	0.007	0	0.007	0.290768773	1	
MORF4L2	0.881728707	0.239	0.1	0.139	0.000155886	1	
BCL2	0.881695053	0.338	0.15	0.188	4.17E-06	0.076858911	
DNAJB9	0.88146085	0.408	0.225	0.183	1.47E-06	0.027072458	
CIC	0.881088172	0.044	0.012	0.032	0.065508802	1	
KLF10	0.880988393	0.139	0.062	0.077	0.007931905	1	
METTL2B	0.880795577	0.113	0.05	0.063	0.017691649	1	
LPCAT3	0.880379077	0.113	0.05	0.063	0.017154664	1	
EFNB1	0.879969624	0.007	0	0.007	0.290768773	1	
PAFAH2	0.879840092	0.049	0.012	0.037	0.042368068	1	
REXO4	0.879416584	0.089	0.044	0.045	0.054535544	1	
ODF3L1	0.879242089	0.007	0	0.007	0.290768773	1	
TBC1D12	0.878386668	0.007	0	0.007	0.290768773	1	
KIAA0513	0.877320706	0.019	0.006	0.013	0.254210969	1	
RP11-1017G21.5	0.877020156	0.01	0.006	0.004	0.624378148	1	
CH507-513H4.6	0.876808257	0.005	0	0.005	0.36082193	1	
IL7	0.876344648	0.085	0.038	0.047	0.039201456	1	
HMG20A	0.875291445	0.073	0.038	0.035	0.098439535	1	
SERPINA1	0.875175143	0.023	0.012	0.011	0.421235717	1	
LPGAT1	0.875077222	0.038	0.012	0.026	0.105898288	1	
RP11-54C4.3	0.874593437	0.021	0.006	0.015	0.21389923	1	
DDX3Y	0.87447488	0.324	0.2	0.124	0.000213182	1	
ZNF528	0.874474716	0.024	0.006	0.018	0.153563162	1	
HECW2	0.874257136	0.016	0.006	0.01	0.362124463	1	
IMMP1L	0.874067679	0.111	0.062	0.049	0.054223593	1	
CLDN1	0.873849617	0.007	0	0.007	0.290768773	1	
PRR11	0.873604142	0.005	0	0.005	0.36082193	1	
BFSP2-AS1	0.872989648	0.023	0.006	0.017	0.181405957	1	
ZNF837	0.872915195	0.007	0	0.007	0.290768773	1	
CMKLR1	0.87178537	0.005	0	0.005	0.36082193	1	
ZBTB20-AS1	0.871783781	0.005	0	0.005	0.36082193	1	
CLDND2	0.871733282	0.009	0	0.009	0.237083309	1	
ZNF830	0.871466188	0.11	0.069	0.041	0.092775496	1	
LONP1	0.871451939	0.03	0.006	0.024	0.093427034	1	
ZNF282	0.87144211	0.031	0.012	0.019	0.19620332	1	
RP11-677M14.2	0.870246363	0.005	0	0.005	0.36082193	1	
PTGER4	0.869450779	0.301	0.144	0.157	4.39E-05	0.80848447	
NCR2	0.869158303	0.009	0	0.009	0.237083309	1	
ARHGEF40	0.869048048	0.009	0	0.009	0.237083309	1	
EIF5	0.869007429	0.714	0.5	0.214	1.11E-12	2.05E-08	
NIPAL2	0.868773484	0.031	0.012	0.019	0.193116638	1	
RRAD	0.868305491	0.003	0	0.003	0.456375917	1	
TNFSF13B	0.867712403	0.08	0.044	0.036	0.103153051	1	
GSTA4	0.867592645	0.009	0	0.009	0.237083309	1	
MAP3K6	0.867336333	0.054	0.012	0.042	0.026094427	1	
CKAP2L	0.865602666	0.01	0	0.01	0.194868982	1	
RAD51	0.86552237	0.007	0	0.007	0.290768773	1	
LRR1	0.865468263	0.068	0.031	0.037	0.07865304	1	
HNMT	0.864998222	0.01	0	0.01	0.194868982	1	
RP5-1085F17.3	0.864836454	0.007	0	0.007	0.290768773	1	
ZNRF1	0.864095386	0.091	0.025	0.066	0.006598876	1	
MAFB	0.863633945	0.017	0.006	0.011	0.30264001	1	
NEFM	0.863369643	0.007	0	0.007	0.290768773	1	
CYB5A	0.863009225	0.181	0.075	0.106	0.001188599	1	
KIAA1161	0.863004316	0.007	0	0.007	0.290768773	1	
WDR47	0.862859134	0.054	0.019	0.035	0.06151621	1	
SQLE	0.861796892	0.106	0.05	0.056	0.027354004	1	
RP11-475I24.3	0.861285847	0.014	0.006	0.008	0.430380155	1	
AC009403.2	0.861275451	0.044	0.025	0.019	0.271885981	1	
MAST4	0.861003383	0.303	0.138	0.165	2.26E-05	0.415633507	
CXCL10	0.860739327	0.007	0	0.007	0.290768773	1	
BCAS2	0.860597868	0.659	0.362	0.297	1.25E-11	2.31E-07	
FASTKD2	0.859851463	0.087	0.031	0.056	0.019231625	1	
IL10RB-AS1	0.859714041	0.01	0	0.01	0.194868982	1	
PLEKHN1	0.859196234	0.017	0.006	0.011	0.301701257	1	
AC004951.6	0.859051523	0.007	0	0.007	0.290768773	1	
TBL1X	0.858915124	0.063	0.031	0.032	0.117762373	1	
PPP2R2A	0.858288765	0.254	0.112	0.142	0.000168182	1	
DNAAF5	0.856860069	0.012	0.006	0.006	0.517584711	1	
HIST2H2AA3	0.85633111	0.017	0.006	0.011	0.30264001	1	
RNASEK-C17orf49	0.856318376	0.024	0.006	0.018	0.154059616	1	
FKBP5	0.856077153	0.287	0.175	0.112	0.001538112	1	
RNF135	0.855619386	0.071	0.044	0.027	0.184739656	1	
CTC-543D15.8	0.855549296	0.007	0	0.007	0.290768773	1	
RP11-944C7.1	0.855425775	0.005	0	0.005	0.36082193	1	
VWA9	0.855266827	0.061	0.031	0.03	0.133465921	1	
EVA1B	0.855111491	0.014	0.006	0.008	0.430380155	1	
TRIM69	0.854788272	0.268	0.15	0.118	0.000688216	1	
PIAS4	0.854659159	0.045	0.019	0.026	0.125775363	1	
AAGAB	0.853846487	0.202	0.088	0.114	0.000674524	1	
HIST1H2BI	0.852570271	0.005	0	0.005	0.36082193	1	
ROCK2	0.852257408	0.019	0.006	0.013	0.255011371	1	
LY86	0.851788564	0.009	0	0.009	0.237083309	1	
LILRB1	0.851724128	0.012	0	0.012	0.16111254	1	
AC074366.3	0.85164777	0.005	0	0.005	0.36082193	1	
HMGCS1	0.851301341	0.152	0.075	0.077	0.008976015	1	
RABGEF1	0.850835997	0.035	0.012	0.023	0.142080294	1	
RP11-218M22.1	0.850649623	0.03	0.012	0.018	0.222713105	1	
AL358852.1	0.850522609	0.007	0	0.007	0.290768773	1	
PTPN22	0.85028696	0.465	0.219	0.246	2.88E-08	0.000530684	
RAB4B-EGLN2	0.849821844	0.012	0.006	0.006	0.517584711	1	
SLC35A1	0.849701582	0.094	0.038	0.056	0.02126046	1	
OLFML3	0.848956891	0.007	0	0.007	0.290768773	1	
IFIH1	0.848748842	0.106	0.031	0.075	0.003772114	1	
AC010226.4	0.848282803	0.009	0	0.009	0.237083309	1	
NR3C1	0.848188594	0.662	0.406	0.256	1.63E-11	3.01E-07	
SLC39A3	0.847862059	0.042	0.025	0.017	0.308531932	1	
RP1-202O8.3	0.847562229	0.005	0	0.005	0.36082193	1	
ZNF576	0.847030643	0.052	0.019	0.033	0.072281555	1	
RP11-83N9.5	0.846692849	0.005	0	0.005	0.36082193	1	
JMJD4	0.846683795	0.049	0.025	0.024	0.184116652	1	
CASP1	0.846682209	0.594	0.312	0.282	7.56E-11	1.39E-06	
PPFIA3	0.846203376	0.005	0	0.005	0.36082193	1	
ZNF658	0.84574382	0.007	0	0.007	0.290768773	1	
SLC9A1	0.845101637	0.026	0.006	0.02	0.129297885	1	
RNF122	0.845098912	0.009	0	0.009	0.237083309	1	
CCDC78	0.844993459	0.007	0	0.007	0.290768773	1	
THTPA	0.844920986	0.04	0.019	0.021	0.191962543	1	
CPNE5	0.844899717	0.005	0	0.005	0.36082193	1	
HIST2H2AA4	0.844632616	0.15	0.062	0.088	0.003743902	1	
ZFP57	0.844387169	0.007	0	0.007	0.290768773	1	
DKFZp779M0652	0.844013853	0.005	0	0.005	0.36082193	1	
CTU1	0.843849748	0.007	0	0.007	0.290768773	1	
SFR1	0.843836924	0.057	0.031	0.026	0.171560066	1	
MOB3A	0.843545982	0.254	0.138	0.116	0.000990496	1	
RP11-582J16.5	0.843532917	0.009	0	0.009	0.237083309	1	
ABHD6	0.843322356	0.028	0.012	0.016	0.264183455	1	
FAM122C	0.843006299	0.092	0.038	0.054	0.025634084	1	
CAPG	0.84283456	0.263	0.162	0.101	0.003462398	1	
GDAP1	0.842169726	0.037	0.012	0.025	0.123515424	1	
RELB	0.841621396	0.206	0.094	0.112	0.000911014	1	
CSTA	0.841603275	0.009	0	0.009	0.237083309	1	
LDLR	0.841372227	0.098	0.038	0.06	0.017186406	1	
ITGA1	0.84092228	0.01	0	0.01	0.194868982	1	
SLC35E1	0.840797499	0.052	0.031	0.021	0.254216266	1	
SLC25A37	0.840772674	0.038	0.012	0.026	0.106194065	1	
BTG1	0.840756785	0.993	0.988	0.005	3.53E-41	6.51E-37	
SDR42E1	0.840699255	0.007	0	0.007	0.290768773	1	
FKBP15	0.840417137	0.077	0.038	0.039	0.076245483	1	
LST1	0.840369415	0.188	0.106	0.082	0.009299412	1	
bP-21264C1.2	0.840057835	0.038	0.012	0.026	0.106490496	1	
ABCA1	0.83994951	0.01	0.006	0.004	0.624378148	1	
CHURC1-FNTB	0.839135709	0.007	0	0.007	0.290768773	1	
UTP11L	0.839125711	0.111	0.038	0.073	0.005697508	1	
CBX7	0.839122456	0.056	0.025	0.031	0.10825288	1	
CCDC159	0.838965117	0.105	0.044	0.061	0.018566346	1	
MAP9	0.838648556	0.017	0.012	0.005	0.654007131	1	
PRKAR1B	0.837611131	0.103	0.05	0.053	0.036092423	1	
POT1	0.837584861	0.052	0.031	0.021	0.253266236	1	
FOXP3	0.837242863	0.808	0.462	0.346	1.15E-16	2.11E-12	
FAM64A	0.837190999	0.003	0	0.003	0.456375917	1	
LAMP3	0.83695642	0.012	0.012	0	0.988528945	1	
MORC2-AS1	0.836114681	0.005	0	0.005	0.36082193	1	
PIGF	0.835847029	0.111	0.062	0.049	0.056691916	1	
PSTK	0.835581253	0.023	0.006	0.017	0.181405957	1	
KIFC1	0.835528554	0.007	0	0.007	0.290768773	1	
TRIM61	0.835498649	0.007	0	0.007	0.290768773	1	
COMMD5	0.835055107	0.185	0.1	0.085	0.007580524	1	
MIR222HG	0.834867385	0.038	0.019	0.019	0.223346015	1	
LRRC59	0.834455073	0.164	0.081	0.083	0.007266138	1	
SRRM2-AS1	0.834027385	0.007	0	0.007	0.290768773	1	
LAMC2	0.833884264	0.005	0	0.005	0.36082193	1	
RPA1	0.833862185	0.192	0.119	0.073	0.015380055	1	
ADNP2	0.833850565	0.04	0.019	0.021	0.190174886	1	
PTRH1	0.833705718	0.094	0.044	0.05	0.03935093	1	
PLK4	0.83332328	0.012	0.006	0.006	0.517584711	1	
BST1	0.833172093	0.002	0	0.002	0.599816854	1	
PYGO2	0.832801969	0.084	0.038	0.046	0.047500541	1	
PRKCD	0.832604759	0.056	0.019	0.037	0.052860459	1	
PLA2G16	0.832523728	0.073	0.031	0.042	0.052615472	1	
RP11-110I1.13	0.832409037	0.017	0.012	0.005	0.656779865	1	
METTL7A	0.832329358	0.071	0.056	0.015	0.426905539	1	
DDX11-AS1	0.832174366	0.007	0	0.007	0.290768773	1	
FAM111A	0.832118416	0.155	0.081	0.074	0.014076303	1	
MYOM1	0.831944954	0.005	0	0.005	0.36082193	1	
NRN1L	0.831082721	0.005	0	0.005	0.36082193	1	
JMJD6	0.830586271	0.204	0.1	0.104	0.001737557	1	
MRPS18C	0.830431956	0.308	0.131	0.177	1.29E-05	0.23723235	
CENPP	0.829886987	0.023	0.006	0.017	0.181405957	1	
E2F3	0.829468545	0.078	0.038	0.04	0.069670589	1	
DYRK4	0.829161926	0.064	0.044	0.02	0.285592331	1	
FAM213B	0.829056266	0.057	0.031	0.026	0.172940677	1	
ZNF182	0.828947676	0.014	0.006	0.008	0.430380155	1	
LUCAT1	0.827561227	0.017	0.006	0.011	0.304523338	1	
S100PBP	0.827515366	0.111	0.031	0.08	0.002612019	1	
RP11-1007O24.3	0.827212166	0.009	0	0.009	0.237083309	1	
RP11-15H20.7	0.82684877	0.042	0.019	0.023	0.167128626	1	
ACP6	0.826278055	0.096	0.044	0.052	0.032630409	1	
ADGRB1	0.826258397	0.005	0	0.005	0.36082193	1	
TIGD6	0.826196902	0.005	0	0.005	0.36082193	1	
SLC40A1	0.826102854	0.007	0	0.007	0.290768773	1	
DMXL2	0.825875261	0.009	0	0.009	0.237083309	1	
SUV39H2	0.825874505	0.024	0.006	0.018	0.153563162	1	
EHD4	0.825650869	0.141	0.062	0.079	0.00798956	1	
ANKRD42	0.825596496	0.026	0.006	0.02	0.129719349	1	
TBC1D7	0.825311352	0.101	0.05	0.051	0.041677823	1	
S1PR2	0.824955807	0.023	0.006	0.017	0.181987961	1	
BTAF1	0.824544119	0.213	0.112	0.101	0.002659209	1	
SLC2A1-AS1	0.824348368	0.005	0	0.005	0.36082193	1	
AC007246.3	0.823518129	0.071	0.031	0.04	0.062207384	1	
STARD10	0.822928086	0.047	0.025	0.022	0.210235136	1	
RP3-508I15.21	0.822677208	0.005	0	0.005	0.36082193	1	
ZNF610	0.822180308	0.024	0.006	0.018	0.153067925	1	
DUSP18	0.821983715	0.04	0.019	0.021	0.193762527	1	
FAF1	0.821159063	0.136	0.069	0.067	0.01838239	1	
ARL13B	0.820687368	0.052	0.019	0.033	0.071724365	1	
MAN2C1	0.820624577	0.106	0.044	0.062	0.016394787	1	
RP11-296O14.3	0.820476735	0.005	0	0.005	0.36082193	1	
TRIM39	0.82044245	0.038	0.012	0.026	0.108583924	1	
AGPAT5	0.820222086	0.077	0.038	0.039	0.077372165	1	
RNF185	0.820142449	0.037	0.019	0.018	0.256583305	1	
MRPL12	0.819851471	0.075	0.031	0.044	0.047968624	1	
GAPT	0.81984393	0.009	0	0.009	0.237083309	1	
SECTM1	0.819001846	0.007	0	0.007	0.290768773	1	
NRP1	0.818829126	0.005	0	0.005	0.36082193	1	
CACFD1	0.818708579	0.007	0	0.007	0.290768773	1	
PTGS1	0.817949919	0.007	0	0.007	0.290768773	1	
TUBE1	0.817931511	0.085	0.038	0.047	0.041915699	1	
EFCAB2	0.817627996	0.047	0.019	0.028	0.110624211	1	
LINC00158	0.817624548	0.007	0	0.007	0.290768773	1	
TAF10	0.817572047	0.108	0.062	0.046	0.071191613	1	
C17orf100	0.817442034	0.023	0.006	0.017	0.181987961	1	
MARS2	0.817004764	0.023	0.006	0.017	0.181405957	1	
GS1-279B7.2	0.81688296	0.005	0	0.005	0.36082193	1	
ZNF330	0.816686717	0.183	0.112	0.071	0.020236136	1	
COQ5	0.816025535	0.075	0.044	0.031	0.144921587	1	
BRICD5	0.815595668	0.009	0.006	0.003	0.755878218	1	
PRR34	0.815286446	0.007	0	0.007	0.290768773	1	
RP11-319G6.1	0.814968328	0.007	0	0.007	0.290768773	1	
WDR92	0.814962251	0.007	0	0.007	0.290768773	1	
CNOT10	0.814929558	0.101	0.044	0.057	0.024351919	1	
EZH2	0.814714298	0.105	0.062	0.043	0.085936506	1	
FDXR	0.81428913	0.085	0.038	0.047	0.041360476	1	
QPRT	0.813905918	0.005	0	0.005	0.36082193	1	
GRAMD3	0.813730327	0.129	0.062	0.067	0.016700439	1	
RP11-263K19.4	0.813648702	0.005	0	0.005	0.36082193	1	
NOLC1	0.813597084	0.15	0.069	0.081	0.007274428	1	
RP11-146I2.1	0.813123886	0.005	0	0.005	0.36082193	1	
KIR3DX1	0.812934003	0.005	0	0.005	0.36082193	1	
FEM1A	0.812510152	0.049	0.019	0.03	0.095088226	1	
ZBTB48	0.812456391	0.049	0.019	0.03	0.095208113	1	
PLK2	0.812443913	0.009	0	0.009	0.237083309	1	
MRPL51	0.812412595	0.446	0.244	0.202	2.29E-07	0.004225683	
LHFP	0.812264586	0.016	0.006	0.01	0.359916571	1	
TNFRSF10D	0.81211588	0.04	0.012	0.028	0.092840993	1	
LINC00920	0.811880357	0.024	0.006	0.018	0.153067925	1	
OSBP2	0.81158695	0.005	0	0.005	0.36082193	1	
CTD-3222D19.12	0.811468977	0.003	0	0.003	0.456375917	1	
PYGM	0.811425856	0.005	0	0.005	0.36082193	1	
EIF4G3	0.810858583	0.091	0.044	0.047	0.051495741	1	
MKNK1	0.810666778	0.197	0.088	0.109	0.001405002	1	
RP11-342M1.3	0.810510997	0.007	0	0.007	0.290768773	1	
TESC	0.80992516	0.089	0.044	0.045	0.058023795	1	
CTC-428H11.2	0.809903283	0.019	0.006	0.013	0.255011371	1	
BBOF1	0.809887772	0.005	0	0.005	0.36082193	1	
RP11-137H2.4	0.809382222	0.005	0	0.005	0.36082193	1	
RP11-429E11.3	0.809354733	0.005	0	0.005	0.36082193	1	
RP11-542M13.3	0.808372269	0.005	0	0.005	0.36082193	1	
STK36	0.807951582	0.007	0	0.007	0.290768773	1	
CD276	0.807882416	0.007	0	0.007	0.290768773	1	
TMEM217	0.807233849	0.016	0.006	0.01	0.363231585	1	
CRYGS	0.807221383	0.005	0	0.005	0.36082193	1	
NME7	0.807127505	0.103	0.062	0.041	0.09505975	1	
LAX1	0.806911585	0.172	0.1	0.072	0.017679135	1	
NDRG1	0.80676875	0.179	0.106	0.073	0.01389437	1	
AC074117.10	0.806432354	0.007	0	0.007	0.290768773	1	
ASH2L	0.80629645	0.078	0.044	0.034	0.116463564	1	
SPATS2	0.806177279	0.052	0.019	0.033	0.073218078	1	
SYP	0.806025529	0.007	0	0.007	0.290768773	1	
DDIAS	0.805796433	0.005	0	0.005	0.36082193	1	
PDXP	0.805442647	0.005	0	0.005	0.36082193	1	
SLC25A17	0.805379629	0.122	0.044	0.078	0.005280914	1	
UBE2R2	0.805267861	0.098	0.044	0.054	0.030730139	1	
RP11-1379J22.5	0.805228867	0.007	0	0.007	0.290768773	1	
RHBDF2	0.805189423	0.021	0.006	0.015	0.21389923	1	
COPB2	0.805108515	0.211	0.1	0.111	0.001364945	1	
RP3-428L16.2	0.805082814	0.005	0	0.005	0.36082193	1	
GLCCI1	0.80503335	0.209	0.1	0.109	0.001584109	1	
PARP2	0.804493461	0.047	0.019	0.028	0.111450688	1	
ZNF547	0.804322455	0.005	0	0.005	0.36082193	1	
GMNN	0.804317746	0.077	0.031	0.046	0.043018642	1	
FYCO1	0.804050855	0.103	0.044	0.059	0.02139285	1	
MFSD7	0.803725756	0.005	0	0.005	0.36082193	1	
RP11-455F5.5	0.80359567	0.078	0.031	0.047	0.038930319	1	
HN1L	0.802990441	0.056	0.025	0.031	0.109246533	1	
COX17	0.80266173	0.592	0.325	0.267	8.82E-10	1.63E-05	
DPH7	0.802610141	0.075	0.044	0.031	0.151970334	1	
CTD-2410N18.3	0.802488049	0.005	0	0.005	0.36082193	1	
PPIL3	0.802185861	0.16	0.081	0.079	0.009378417	1	
CETN3	0.802179727	0.054	0.025	0.029	0.123602663	1	
AC007228.11	0.801910073	0.005	0	0.005	0.36082193	1	
INPP5B	0.801624619	0.035	0.019	0.016	0.293149783	1	
CBR1	0.801410221	0.136	0.056	0.08	0.006592303	1	
KIAA0556	0.80115391	0.021	0.006	0.015	0.215262596	1	
STX6	0.800332842	0.105	0.044	0.061	0.018906269	1	
SNX8	0.800168359	0.042	0.025	0.017	0.313385672	1	
HIVEP3	0.800087825	0.071	0.038	0.033	0.114937254	1	
CHCHD4	0.800053115	0.026	0.019	0.007	0.571026109	1	
RCAN1	0.799995545	0.012	0.006	0.006	0.519103134	1	
RP1-223E5.4	0.799650402	0.007	0	0.007	0.290768773	1	
CDC42EP2	0.79943288	0.009	0	0.009	0.237083309	1	
RFT1	0.799075622	0.056	0.019	0.037	0.054274371	1	
MFSD3	0.798803086	0.045	0.012	0.033	0.059115866	1	
SPAG9	0.798777772	0.172	0.075	0.097	0.002260252	1	
CTD-2555O16.2	0.798529195	0.005	0	0.005	0.36082193	1	
SIGLEC10	0.798162014	0.009	0	0.009	0.237083309	1	
ENPEP	0.798034066	0.005	0	0.005	0.36082193	1	
RCN1	0.797828493	0.033	0.019	0.014	0.337449185	1	
FEZ1	0.797802442	0.009	0	0.009	0.237083309	1	
TSPAN31	0.796888237	0.099	0.056	0.043	0.081084634	1	
GRINA	0.796689427	0.16	0.088	0.072	0.014775541	1	
COA4	0.79574858	0.228	0.106	0.122	0.000718609	1	
HIST2H3D	0.795379302	0.009	0	0.009	0.237083309	1	
KCTD13	0.795369066	0.085	0.031	0.054	0.020930314	1	
SBF2	0.795260719	0.007	0	0.007	0.290768773	1	
RANBP1	0.794915965	0.453	0.275	0.178	3.15E-06	0.058002176	
C2CD2L	0.794612317	0.014	0.006	0.008	0.431674439	1	
LINC00896	0.794456237	0.005	0	0.005	0.36082193	1	
TTI1	0.794417693	0.047	0.025	0.022	0.210235164	1	
RP11-796E2.4	0.793977525	0.261	0.112	0.149	7.12E-05	1	
RNF19B	0.793049661	0.047	0.012	0.035	0.049620386	1	
PCSK6	0.792989165	0.005	0	0.005	0.36082193	1	
RP11-31F15.2	0.792975693	0.007	0	0.007	0.290768773	1	
CMSS1	0.792878123	0.134	0.05	0.084	0.004042921	1	
ASIC1	0.792332569	0.007	0	0.007	0.290768773	1	
RP11-950C14.7	0.792174899	0.005	0	0.005	0.36082193	1	
LPP	0.792130338	0.253	0.125	0.128	0.000514245	1	
ANKFY1	0.791910609	0.073	0.031	0.042	0.055592501	1	
DEPDC1B	0.791849172	0.005	0	0.005	0.36082193	1	
PTRH2	0.791806314	0.071	0.025	0.046	0.032178428	1	
PDCD4	0.791700575	0.42	0.238	0.182	3.87E-06	0.071341776	
TRAPPC2P1	0.791677388	0.148	0.056	0.092	0.002719848	1	
MS4A6A	0.791600519	0.045	0.025	0.02	0.25173243	1	
ZNF669	0.79124027	0.094	0.038	0.056	0.022071919	1	
LINC00092	0.791205573	0.005	0	0.005	0.36082193	1	
KIF1BP	0.79112754	0.03	0.006	0.024	0.093734872	1	
C5orf34	0.79107733	0.016	0.006	0.01	0.362124463	1	
THG1L	0.790819955	0.099	0.038	0.061	0.015224913	1	
SNHG15	0.790633577	0.469	0.244	0.225	3.46E-07	0.006373815	
MAPKAPK3	0.789964253	0.249	0.144	0.105	0.001584289	1	
JUND	0.789879899	0.549	0.275	0.274	4.82E-10	8.87E-06	
C14orf1	0.789843766	0.237	0.15	0.087	0.007876144	1	
KMT5C	0.78943993	0.026	0.012	0.014	0.305290631	1	
SDF2L1	0.789049744	0.336	0.15	0.186	7.36E-06	0.135584463	
ABCC4	0.789011919	0.031	0.019	0.012	0.38541302	1	
TNS4	0.788736048	0.007	0	0.007	0.290768773	1	
H6PD	0.788605625	0.044	0.019	0.025	0.146097677	1	
ZBTB16	0.788075797	0.031	0.012	0.019	0.195170435	1	
ZNF251	0.787910752	0.033	0.012	0.021	0.16790603	1	
PALB2	0.787855694	0.016	0.006	0.01	0.361019459	1	
DUSP23	0.787799855	0.239	0.125	0.114	0.001205126	1	
SLC7A5	0.787167137	0.179	0.069	0.11	0.000728534	1	
KIF3C	0.786897547	0.007	0	0.007	0.290768773	1	
CH507-24F1.2	0.786763395	0.005	0	0.005	0.36082193	1	
FBXO31	0.786693391	0.054	0.019	0.035	0.06463569	1	
APTR	0.786356228	0.037	0.012	0.025	0.124540006	1	
HMGCR	0.786235322	0.077	0.044	0.033	0.132793588	1	
SLC39A8	0.786163814	0.07	0.031	0.039	0.071629575	1	
RP11-46H11.12	0.785949393	0.005	0	0.005	0.36082193	1	
HIBCH	0.785359996	0.172	0.1	0.072	0.017268779	1	
RP11-386G11.5	0.78501887	0.007	0	0.007	0.290768773	1	
LIN54	0.784593066	0.077	0.031	0.046	0.041828457	1	
TRGV4	0.784499554	0.021	0.012	0.009	0.484882331	1	
TRAV8-5	0.784236903	0.009	0.006	0.003	0.755878218	1	
NFE2L2	0.784231027	0.38	0.212	0.168	2.04E-05	0.376550292	
XKR9	0.784174386	0.019	0.006	0.013	0.255813524	1	
PDXK	0.784105316	0.052	0.025	0.027	0.144470369	1	
PROB1	0.783870593	0.005	0	0.005	0.36082193	1	
ESRRA	0.783606894	0.026	0.006	0.02	0.130565476	1	
LHFPL2	0.783307859	0.007	0	0.007	0.290768773	1	
MN1	0.783148206	0.003	0	0.003	0.456375917	1	
RP11-574F21.2	0.782905492	0.009	0.006	0.003	0.755878218	1	
CXXC5	0.782667254	0.019	0.006	0.013	0.254210969	1	
CLIC3	0.782090473	0.044	0.019	0.025	0.148581312	1	
HSPBAP1	0.781615781	0.052	0.025	0.027	0.144789131	1	
UBB	0.781388519	0.934	0.806	0.128	3.55E-23	6.54E-19	
MAP3K12	0.780894363	0.024	0.012	0.012	0.356201313	1	
LPAR2	0.780558688	0.185	0.1	0.085	0.009226488	1	
SMPD1	0.780239428	0.155	0.081	0.074	0.013885258	1	
ZNF607	0.779777379	0.003	0	0.003	0.456375917	1	
NOP56	0.779363904	0.16	0.094	0.066	0.022991428	1	
TAF1A-AS1	0.779158481	0.005	0	0.005	0.36082193	1	
CREG1	0.779157458	0.028	0.006	0.022	0.110401345	1	
SRGAP1	0.778424438	0.007	0	0.007	0.290768773	1	
OAS3	0.778341488	0.08	0.038	0.042	0.06164127	1	
DNAL1	0.778127258	0.01	0.006	0.004	0.624378148	1	
PTAFR	0.776898774	0.01	0	0.01	0.194868982	1	
AMER1	0.776849489	0.007	0	0.007	0.290768773	1	
PICK1	0.776845775	0.03	0.012	0.018	0.227400174	1	
NLRP2	0.776772702	0.007	0	0.007	0.290768773	1	
EDC4	0.775718445	0.07	0.031	0.039	0.071072406	1	
SNX25	0.775062965	0.021	0.012	0.009	0.483770494	1	
SELK	0.774391965	0.732	0.519	0.213	1.38E-11	2.55E-07	
IL10	0.774360801	0.026	0.012	0.014	0.307586644	1	
SLC8A1	0.774285919	0.009	0	0.009	0.237083309	1	
RNF121	0.773605885	0.061	0.025	0.036	0.073221336	1	
SDHAF4	0.773603545	0.049	0.025	0.024	0.185696037	1	
CIDEB	0.773592487	0.04	0.019	0.021	0.193762527	1	
RP11-299H21.1	0.773302669	0.005	0	0.005	0.36082193	1	
PRR7	0.772692096	0.068	0.031	0.037	0.084390256	1	
IMMT	0.772556906	0.181	0.088	0.093	0.00409839	1	
CD274	0.772530894	0.031	0.012	0.019	0.196203278	1	
IQCH	0.77252965	0.005	0	0.005	0.36082193	1	
ARFGAP1	0.772171987	0.042	0.019	0.023	0.169525035	1	
